	count(*)	ObraSocial
136	9	OS  DEL PERSONAL DE ESCRIBANOS
137	32	OS  DEL PERSONAL DE ESTACIONES DE SERVICIO,  GARAG
138	6	OS  DEL PERSONAL DE FABRICAS DE PINTURA
139	200	OS  DEL PERSONAL DE FARMACIA
140	23	OS  DEL PERSONAL DE IMPRENTA, DIARIOS Y AFINES
141	30	OS  DEL PERSONAL DE INDUSTRIAS QUIMICAS Y PETROQUI
142	3	OS  DEL PERSONAL DE INSTALACIONES SANITARIAS
143	11	OS  DEL PERSONAL DE JABONEROS
144	22	OS  DEL PERSONAL DE JOCKEY CLUB DE ROSARIO
145	4	OS  DEL PERSONAL DE LA  INDUSTRIA BOTONERA
146	11	OS  DEL PERSONAL DE LA ACTIVIDAD  FRUCTICOLA
147	53	OS  DEL PERSONAL DE LA ACTIVIDAD CERVECERA Y AFINE
148	255	OS  DEL PERSONAL DE LA ACTIVIDAD DEL TURF
149	9	OS  DEL PERSONAL DE LA ACTIVIDAD PERFUMISTA
150	3	OS  DEL PERSONAL DE LA ACTIVIDAD VIAL
151	137	OS  DEL PERSONAL DE LA ACTIVIDAD VITIVINICOLA
152	9	OS  DEL PERSONAL DE LA CERAMICA, SANITARIOS, PORCE
153	1658	OS  DEL PERSONAL DE LA CONSTRUCCION
154	18	OS  DEL PERSONAL DE LA ENSEÑANZA PRIVADA
155	456	OS  DEL PERSONAL DE LA INDUSTRIA AZUCARERA
156	3	OS  DEL PERSONAL DE LA INDUSTRIA CINEMATOGRAFICA
157	450	OS  DEL PERSONAL DE LA INDUSTRIA DE LA ALIMENTACIO
158	37	OS  DEL PERSONAL DE LA INDUSTRIA DEL CALZADO
159	18	OS  DEL PERSONAL DE LA INDUSTRIA DEL CAUCHO
160	7	OS  DEL PERSONAL DE LA INDUSTRIA DEL CAUCHO DE SAN
161	2	OS  DEL PERSONAL DE LA INDUSTRIA DEL CHACINADO Y A
162	30	OS  DEL PERSONAL DE LA INDUSTRIA DEL CUERO Y AFINE
163	224	OS  DEL PERSONAL DE LA INDUSTRIA DEL FIBROCEMENTO
164	202	OS  DEL PERSONAL DE LA INDUSTRIA DEL FOSFORO
165	8	OS  DEL PERSONAL DE LA INDUSTRIA DEL HIELO Y MERCA
166	8	OS  DEL PERSONAL DE LA INDUSTRIA DEL NEUMATICO
167	80	OS  DEL PERSONAL DE LA INDUSTRIA DEL PLASTICO
168	16	OS  DEL PERSONAL DE LA INDUSTRIA DEL TABACO
169	33	OS  DEL PERSONAL DE LA INDUSTRIA DEL VESTIDO Y AFI
170	21	OS  DEL PERSONAL DE LA INDUSTRIA DEL VIDRIO
171	27	OS  DEL PERSONAL DE LA INDUSTRIA FIDEERA
172	11	OS  DEL PERSONAL DE LA INDUSTRIA FORESTAL DE SANTI
173	231	OS  DEL PERSONAL DE LA INDUSTRIA GRAFICA DE LA PRO
174	21	OS  DEL PERSONAL DE LA INDUSTRIA LADRILLERA A MAQU
175	54	OS  DEL PERSONAL DE LA INDUSTRIA LECHERA
176	21	OS  DEL PERSONAL DE LA INDUSTRIA MADERERA
177	178	OS  DEL PERSONAL DE LA INDUSTRIA MOLINERA
178	7	OS  DEL PERSONAL DE LA INDUSTRIA NAVAL
179	7	OS  DEL PERSONAL DE LA INDUSTRIA PETROQUIMICA
180	97	OS  DEL PERSONAL DE LA INDUSTRIA TEXTIL
181	1	OS  DEL PERSONAL DE LA PUBLICIDAD
182	125	OS  DEL PERSONAL DE LA SANIDAD ARGENTINA
183	7	OS  DEL PERSONAL DE LAS TELECOMUNICACIONES DE LA R
184	2	OS  DEL PERSONAL DE LOS HIPODROMOS DE BUENOS AIRES
185	97	OS  DEL PERSONAL DE LUZ Y FUERZA DE CORDOBA
186	123	OS  DEL PERSONAL DE MAESTRANZA
187	4	OS  DEL PERSONAL DE MANIPULEO, EMPAQUE  Y EXPEDICI
188	9	OS  DEL PERSONAL DE MICROS Y OMNIBUS DE MENDOZA
189	4	OS  DEL PERSONAL DE OBRAS Y SERVICIOS SANITARIOS
190	117	OS  DEL PERSONAL DE PANADERIAS
191	79	OS  DEL PERSONAL DE PELUQUERIAS,  ESTETICA Y AFINE
192	6	OS  DEL PERSONAL DE PRENSA DE LA REPUBLICA ARGENTI
193	22	OS  DEL PERSONAL DE PRENSA DE MAR DEL PLATA
194	12	OS  DEL PERSONAL DE PRENSA DE MENDOZA
195	6	OS  DEL PERSONAL DE PRENSA DE ROSARIO
196	29	OS  DEL PERSONAL DE PRENSA DE TUCUMAN
197	10	OS  DEL PERSONAL DE RECOLECCION Y BARRIDO DE ROSAR
198	14	OS  DEL PERSONAL DE REFINERIAS DE MAIZ
199	35	OS  DEL PERSONAL DE SEGURIDAD COMERCIAL, INDUSTRIA
200	1	OS  DEL PERSONAL DE SOCIEDADES DE AUTORES Y AFINES
201	19	OS  DEL PERSONAL DE TELEVISION
202	5	OS  DEL PERSONAL DE VIGILANCIA Y SEGURIDAD COMERCI
203	177	OS  DEL PERSONAL DEL AUTOMOVIL CLUB ARGENTINO
204	2	OS  DEL PERSONAL DEL AZUCAR DEL INGENIO LA ESPERAN
205	30	OS  DEL PERSONAL DEL AZUCAR DEL INGENIO LEDESMA
206	1	OS  DEL PERSONAL DEL AZUCAR DEL INGENIO SAN MARTIN
207	9	OS  DEL PERSONAL DEL CAUCHO
208	3	OS  DEL PERSONAL DEL ESPECTACULO PUBLICO
209	71	OS  DEL PERSONAL DEL ORGANISMO DE CONTROL EXTERNO*
210	40	OS  DEL PERSONAL DEL PAPEL, CARTON Y QUIMICOS
211	5	OS  DEL PERSONAL DIRECTIVO DE LA INDUSTRIA DE LA C
212	51	OS  DEL PERSONAL GRAFICO
213	10	OS  DEL PERSONAL JERARQUICO DE LA REPUBLICA ARGENT
214	1091	OS  DEL PERSONAL LADRILLERO
215	23	OS  DEL PERSONAL MARITIMO
216	1	OS  DEL PERSONAL MENSUALIZADO DEL JOCKEY CLUB DE B
217	46	OS  DEL PERSONAL MOSAISTA
218	9	OS  DEL PERSONAL MUNICIPAL DE AVELLANEDA
219	16	OS  DEL PERSONAL MUNICIPAL DE LA MATANZA
220	8	OS  DEL PERSONAL MUNICIPAL DE TRES DE FEBRERO
221	6	OS  DEL PERSONAL NAVAL
222	2961	OS  DEL PERSONAL RURAL Y ESTIBADORES DE LA REPUBLI
223	4	OS  DEL PERSONAL SUPERIOR DE MERCEDES BENZ ARGENTI
224	5	OS  DEL PERSONAL SUPERIOR Y PROFESIONAL DE EMPRESA
225	4	OS  DEL PERSONAL TECNICO AERONAUTICO
226	24	OS  DEL PETROLEO Y GAS PRIVADO
227	21	OS  DEL SINDICATO UNIDO DE TRABAJADORES DE LA INDU
228	5	OS  ELECTRICISTAS NAVALES
229	2	OS  FEDERAL  DE LA FEDERACION DE TRABAJADORES OBRA
230	98	OS  FERROVIARIA
231	31	OS  MUTUALIDAD INDUSTRIAL TEXTIL ARGENTINA
232	6	OS  PARA EL  PERSONAL DE DIRECCION DE LA INDUTRIA
233	6	OS  PARA EL PERSONAL DE DIRECCION DE LA INDUSTRIA
234	7	OS  PARA EL PERSONAL DE ESTACIONES DE SERVICIO, GA
235	71	OS  PARA EL PERSONAL DE LA INDUSTRIA ACEITERA DESM
236	25	OS  PARA EL PERSONAL DEL MINISTERIO DE ECONOMIA Y
237	680	OS  PARA LA ACTIVIDAD DOCENTE
238	35	OS  PORTUARIOS ARGENTINOS DE MAR DEL PLATA
239	4	OS  PORTUARIOS DE PUERTO SAN MARTIN Y BELLA VISTA
240	2	OS  SUPERCO
241	135	OS  TRABAJ. PAST, CONFIT, PIZZEROS, HELAD. Y ALFAJ
242	7	OS ASOCIACION DE SERVICIOS SOCIALES PARA EMPRESARI
243	35	OS Asociacion Mutual Metalurgica Villa Constitucio
244	5	OS DE  CONDUCT.DE REMISES Y AUTOS AL INSTANTE Y AF
245	3	OS DE  EMPLEADOS DE DESPACHANTES DE ADUANA
246	667	OS DE  PETROLEROS
247	8	OS DE DIRECCION OSDO
248	17	OS DE EMPL.Y PERS. JERARQ.DE LA ACT.DEL  NEUM.ARG.
249	1	OS DE FORD ARGENTINA S.A.
250	16	OS DE LA CAMARA DE EMPRESARIOS DE AGENCIAS DE REMI
251	5	OS DE LOS INMIGRANTES ESPAÑOLES Y SUS DESCENDIENTE
252	36	OS DE LOS TRABAJADORES ASOCIADOS A LA ASOCIACION M
253	32	OS DE LOS TRABAJADORES DE LA CARNE Y AFINES DE LA
254	5	OS DE MANDOS MEDIOS DE TELECOMUNICACIONES EN LA RE
255	10	OS DE MINISTROS, SECRETARIOS Y SUBSECRETARIOS
256	6	OS DE OBREROS Y EMPLEADOS TINTOREROS SOMBREREROS Y
257	23	OS DE TRABAJADORES VIALES Y AFINES DE LA REPUBLICA
258	12	OS DEL  PERSONAL. ESTACIONES DE SERVICIO, GARAGES,
259	1	OS DEL PERSONAL  DE LA EMPRESA NACIONAL DE CORREOS
260	5	OS DEL PERSONAL DE DIRECCION DE LAS EMPRESAS DE LA
261	3	OS DEL PERSONAL DE INDUSTRIAS QUIMICAS Y PETROQUIM
262	655	OS DEL PERSONAL DEL TURISMO, HOTELERO Y GASTRONOMI
263	9	OS OFICIALES PELUQUEROS Y PEINADORES DE ROSARIO
264	128	OS PARA EL PERSONAL DE EMPRESAS DE LIMPIEZA, SERVI
265	168	OS PERSONAL ESTACIONES DE SERVICIO, GARAGES, PLAYA
266	14	OS YACIMIENTOS CARBONIFEROS
267	1	Obra Social de Farmaceuticos y Bioquímicos
268	14	PROGRAMAS MEDICOS SOCIEDAD ARGENTINA DE CONSULTORI
269	9	a Designar
